State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Himachal Pradesh",Mandi,Mandi(Mandi),Spinach,Other,FAQ,22/03/2025,1000,2000,1500
"Himachal Pradesh",Mandi,Mandi(Mandi),"Squash(Chappal Kadoo)","Squash(Chappal Kadoo)",FAQ,22/03/2025,800,1200,1000
"Himachal Pradesh",Solan,Solan(Nalagarh),Cucumbar(Kheera),Other,FAQ,22/03/2025,1800,2200,2000
"Himachal Pradesh",Solan,Solan(Nalagarh),Garlic,Other,FAQ,22/03/2025,8000,9000,8500
"Himachal Pradesh",Solan,Solan(Nalagarh),"Green Chilli",Other,FAQ,22/03/2025,4500,5000,4800
"Himachal Pradesh",Solan,Solan(Nalagarh),Kinnow,Other,Medium,22/03/2025,4800,5200,5000
"Himachal Pradesh",Solan,Solan(Nalagarh),Pomegranate,Pomogranate,Medium,22/03/2025,9500,10500,10000
"Jammu and Kashmir",Anantnag,"Ashahipora (Anantnagh)",Cauliflower,Other,FAQ,22/03/2025,1400,1600,1500
"Jammu and Kashmir",Anantnag,"Ashahipora (Anantnagh)",Potato,Other,FAQ,22/03/2025,1500,1700,1600
"Jammu and Kashmir",Anantnag,Kulgam,"Water Melon","Water Melon",Large,22/03/2025,2400,2500,2450
"Jammu and Kashmir",Jammu,Akhnoor,Apple,Delicious,Medium,22/03/2025,9000,11000,10000
"Jammu and Kashmir",Jammu,Akhnoor,Banana,Medium,Medium,22/03/2025,4000,4500,4250
"Jammu and Kashmir",Jammu,Akhnoor,Cauliflower,Other,FAQ,22/03/2025,500,600,550
"Jammu and Kashmir",Jammu,Akhnoor,Onion,Other,Non-FAQ,22/03/2025,2200,2400,2300
"Jammu and Kashmir",Jammu,Akhnoor,Potato,Other,FAQ,22/03/2025,900,1100,1000
"Jammu and Kashmir",Jammu,Akhnoor,Raddish,Other,FAQ,22/03/2025,550,650,600
